statement,label,city,country,correct_country,question,question_with_answer
The city of Zahedan is in Nicaragua.,0,Zahedan,Nicaragua,Iran,In which country is the city of Zahedan located?,In which country is the city of Zahedan located? Nicaragua.
The city of Xuchang is in China.,1,Xuchang,China,China,In which country is the city of Xuchang located?,In which country is the city of Xuchang located? China.
The city of Xuchang is in Japan.,0,Xuchang,Japan,China,In which country is the city of Xuchang located?,In which country is the city of Xuchang located? Japan.
The city of Changde is in China.,1,Changde,China,China,In which country is the city of Changde located?,In which country is the city of Changde located? China.
The city of Changde is in Mexico.,0,Changde,Mexico,China,In which country is the city of Changde located?,In which country is the city of Changde located? Mexico.
The city of Shaoguan is in China.,1,Shaoguan,China,China,In which country is the city of Shaoguan located?,In which country is the city of Shaoguan located? China.
The city of Shaoguan is in Pakistan.,0,Shaoguan,Pakistan,China,In which country is the city of Shaoguan located?,In which country is the city of Shaoguan located? Pakistan.
The city of Jilin is in China.,1,Jilin,China,China,In which country is the city of Jilin located?,In which country is the city of Jilin located? China.
The city of Jilin is in the United States.,0,Jilin,the United States,China,In which country is the city of Jilin located?,In which country is the city of Jilin located? the United States.
The city of Manaus is in Brazil.,1,Manaus,Brazil,Brazil,In which country is the city of Manaus located?,In which country is the city of Manaus located? Brazil.
The city of Manaus is in Turkey.,0,Manaus,Turkey,Brazil,In which country is the city of Manaus located?,In which country is the city of Manaus located? Turkey.
The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,In which country is the city of Jaboatao dos Guararapes located?,In which country is the city of Jaboatao dos Guararapes located? Brazil.
The city of Jaboatao dos Guararapes is in Myanmar.,0,Jaboatao dos Guararapes,Myanmar,Brazil,In which country is the city of Jaboatao dos Guararapes located?,In which country is the city of Jaboatao dos Guararapes located? Myanmar.
The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya,In which country is the city of Kakamega located?,In which country is the city of Kakamega located? Kenya.
The city of Kakamega is in Russia.,0,Kakamega,Russia,Kenya,In which country is the city of Kakamega located?,In which country is the city of Kakamega located? Russia.
The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco,In which country is the city of Agadir located?,In which country is the city of Agadir located? Morocco.
The city of Agadir is in Bangladesh.,0,Agadir,Bangladesh,Morocco,In which country is the city of Agadir located?,In which country is the city of Agadir located? Bangladesh.
The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia,In which country is the city of Ulan Bator located?,In which country is the city of Ulan Bator located? Mongolia.
The city of Ulan Bator is in Ukraine.,0,Ulan Bator,Ukraine,Mongolia,In which country is the city of Ulan Bator located?,In which country is the city of Ulan Bator located? Ukraine.
The city of Muscat is in Oman.,1,Muscat,Oman,Oman,In which country is the city of Muscat located?,In which country is the city of Muscat located? Oman.
The city of Muscat is in Bangladesh.,0,Muscat,Bangladesh,Oman,In which country is the city of Muscat located?,In which country is the city of Muscat located? Bangladesh.
The city of Paranaque City is in the Philippines.,1,Paranaque City,the Philippines,the Philippines,In which country is the city of Paranaque City located?,In which country is the city of Paranaque City located? the Philippines.
The city of Paranaque City is in India.,0,Paranaque City,India,the Philippines,In which country is the city of Paranaque City located?,In which country is the city of Paranaque City located? India.
The city of Rahim Yar Khan is in Pakistan.,1,Rahim Yar Khan,Pakistan,Pakistan,In which country is the city of Rahim Yar Khan located?,In which country is the city of Rahim Yar Khan located? Pakistan.
The city of Rahim Yar Khan is in Lithuania.,0,Rahim Yar Khan,Lithuania,Pakistan,In which country is the city of Rahim Yar Khan located?,In which country is the city of Rahim Yar Khan located? Lithuania.
The city of Balikpapan is in Indonesia.,1,Balikpapan,Indonesia,Indonesia,In which country is the city of Balikpapan located?,In which country is the city of Balikpapan located? Indonesia.
The city of Balikpapan is in Japan.,0,Balikpapan,Japan,Indonesia,In which country is the city of Balikpapan located?,In which country is the city of Balikpapan located? Japan.
The city of Guarulhos is in Brazil.,1,Guarulhos,Brazil,Brazil,In which country is the city of Guarulhos located?,In which country is the city of Guarulhos located? Brazil.
The city of Guarulhos is in China.,0,Guarulhos,China,Brazil,In which country is the city of Guarulhos located?,In which country is the city of Guarulhos located? China.
The city of Volgograd is in Russia.,1,Volgograd,Russia,Russia,In which country is the city of Volgograd located?,In which country is the city of Volgograd located? Russia.
The city of Volgograd is in Nigeria.,0,Volgograd,Nigeria,Russia,In which country is the city of Volgograd located?,In which country is the city of Volgograd located? Nigeria.
The city of Ulyanovsk is in Russia.,1,Ulyanovsk,Russia,Russia,In which country is the city of Ulyanovsk located?,In which country is the city of Ulyanovsk located? Russia.
The city of Ulyanovsk is in Ukraine.,0,Ulyanovsk,Ukraine,Russia,In which country is the city of Ulyanovsk located?,In which country is the city of Ulyanovsk located? Ukraine.
The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia,In which country is the city of Kota Bharu located?,In which country is the city of Kota Bharu located? Malaysia.
The city of Kota Bharu is in Norway.,0,Kota Bharu,Norway,Malaysia,In which country is the city of Kota Bharu located?,In which country is the city of Kota Bharu located? Norway.
The city of Sarajevo is in Bosnia and Herzegovina.,1,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,In which country is the city of Sarajevo located?,In which country is the city of Sarajevo located? Bosnia and Herzegovina.
The city of Sarajevo is in South Africa.,0,Sarajevo,South Africa,Bosnia and Herzegovina,In which country is the city of Sarajevo located?,In which country is the city of Sarajevo located? South Africa.
The city of Maceio is in Brazil.,1,Maceio,Brazil,Brazil,In which country is the city of Maceio located?,In which country is the city of Maceio located? Brazil.
The city of Maceio is in China.,0,Maceio,China,Brazil,In which country is the city of Maceio located?,In which country is the city of Maceio located? China.
The city of Joao Pessoa is in Brazil.,1,Joao Pessoa,Brazil,Brazil,In which country is the city of Joao Pessoa located?,In which country is the city of Joao Pessoa located? Brazil.
The city of Joao Pessoa is in South Africa.,0,Joao Pessoa,South Africa,Brazil,In which country is the city of Joao Pessoa located?,In which country is the city of Joao Pessoa located? South Africa.
The city of Shangqiu is in China.,1,Shangqiu,China,China,In which country is the city of Shangqiu located?,In which country is the city of Shangqiu located? China.
The city of Shangqiu is in South Korea.,0,Shangqiu,South Korea,China,In which country is the city of Shangqiu located?,In which country is the city of Shangqiu located? South Korea.
The city of Zhangye is in China.,1,Zhangye,China,China,In which country is the city of Zhangye located?,In which country is the city of Zhangye located? China.
The city of Zhangye is in Venezuela.,0,Zhangye,Venezuela,China,In which country is the city of Zhangye located?,In which country is the city of Zhangye located? Venezuela.
The city of Xuanzhou is in China.,1,Xuanzhou,China,China,In which country is the city of Xuanzhou located?,In which country is the city of Xuanzhou located? China.
The city of Xuanzhou is in Tanzania.,0,Xuanzhou,Tanzania,China,In which country is the city of Xuanzhou located?,In which country is the city of Xuanzhou located? Tanzania.
The city of Wuhan is in China.,1,Wuhan,China,China,In which country is the city of Wuhan located?,In which country is the city of Wuhan located? China.
The city of Wuhan is in Egypt.,0,Wuhan,Egypt,China,In which country is the city of Wuhan located?,In which country is the city of Wuhan located? Egypt.
The city of Nanchang is in China.,1,Nanchang,China,China,In which country is the city of Nanchang located?,In which country is the city of Nanchang located? China.
The city of Nanchang is in Malaysia.,0,Nanchang,Malaysia,China,In which country is the city of Nanchang located?,In which country is the city of Nanchang located? Malaysia.
The city of Luancheng is in China.,1,Luancheng,China,China,In which country is the city of Luancheng located?,In which country is the city of Luancheng located? China.
The city of Luancheng is in Brazil.,0,Luancheng,Brazil,China,In which country is the city of Luancheng located?,In which country is the city of Luancheng located? Brazil.
The city of Liuzhou is in China.,1,Liuzhou,China,China,In which country is the city of Liuzhou located?,In which country is the city of Liuzhou located? China.
The city of Liuzhou is in Russia.,0,Liuzhou,Russia,China,In which country is the city of Liuzhou located?,In which country is the city of Liuzhou located? Russia.
The city of Guangyuan is in China.,1,Guangyuan,China,China,In which country is the city of Guangyuan located?,In which country is the city of Guangyuan located? China.
The city of Guangyuan is in Mexico.,0,Guangyuan,Mexico,China,In which country is the city of Guangyuan located?,In which country is the city of Guangyuan located? Mexico.
The city of Bijie is in China.,1,Bijie,China,China,In which country is the city of Bijie located?,In which country is the city of Bijie located? China.
The city of Bijie is in Indonesia.,0,Bijie,Indonesia,China,In which country is the city of Bijie located?,In which country is the city of Bijie located? Indonesia.
The city of Zhoushan is in China.,1,Zhoushan,China,China,In which country is the city of Zhoushan located?,In which country is the city of Zhoushan located? China.
The city of Zhoushan is in the Philippines.,0,Zhoushan,the Philippines,China,In which country is the city of Zhoushan located?,In which country is the city of Zhoushan located? the Philippines.
The city of Hegang is in China.,1,Hegang,China,China,In which country is the city of Hegang located?,In which country is the city of Hegang located? China.
The city of Hegang is in Russia.,0,Hegang,Russia,China,In which country is the city of Hegang located?,In which country is the city of Hegang located? Russia.
The city of E'zhou is in China.,1,E'zhou,China,China,In which country is the city of E'zhou located?,In which country is the city of E'zhou located? China.
The city of E'zhou is in Malaysia.,0,E'zhou,Malaysia,China,In which country is the city of E'zhou located?,In which country is the city of E'zhou located? Malaysia.
The city of Campos dos Goytacazes is in Brazil.,1,Campos dos Goytacazes,Brazil,Brazil,In which country is the city of Campos dos Goytacazes located?,In which country is the city of Campos dos Goytacazes located? Brazil.
The city of Campos dos Goytacazes is in Vietnam.,0,Campos dos Goytacazes,Vietnam,Brazil,In which country is the city of Campos dos Goytacazes located?,In which country is the city of Campos dos Goytacazes located? Vietnam.
The city of Bucharest is in Romania.,1,Bucharest,Romania,Romania,In which country is the city of Bucharest located?,In which country is the city of Bucharest located? Romania.
The city of Bucharest is in Italy.,0,Bucharest,Italy,Romania,In which country is the city of Bucharest located?,In which country is the city of Bucharest located? Italy.
The city of Ansan-si is in South Korea.,1,Ansan-si,South Korea,South Korea,In which country is the city of Ansan-si located?,In which country is the city of Ansan-si located? South Korea.
The city of Ansan-si is in Canada.,0,Ansan-si,Canada,South Korea,In which country is the city of Ansan-si located?,In which country is the city of Ansan-si located? Canada.
The city of Casablanca is in Morocco.,1,Casablanca,Morocco,Morocco,In which country is the city of Casablanca located?,In which country is the city of Casablanca located? Morocco.
The city of Casablanca is in Russia.,0,Casablanca,Russia,Morocco,In which country is the city of Casablanca located?,In which country is the city of Casablanca located? Russia.
The city of Coyoacan is in Mexico.,1,Coyoacan,Mexico,Mexico,In which country is the city of Coyoacan located?,In which country is the city of Coyoacan located? Mexico.
The city of Coyoacan is in Kenya.,0,Coyoacan,Kenya,Mexico,In which country is the city of Coyoacan located?,In which country is the city of Coyoacan located? Kenya.
The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria,In which country is the city of Oyo located?,In which country is the city of Oyo located? Nigeria.
The city of Oyo is in China.,0,Oyo,China,Nigeria,In which country is the city of Oyo located?,In which country is the city of Oyo located? China.
The city of Pasig City is in the Philippines.,1,Pasig City,the Philippines,the Philippines,In which country is the city of Pasig City located?,In which country is the city of Pasig City located? the Philippines.
The city of Pasig City is in Morocco.,0,Pasig City,Morocco,the Philippines,In which country is the city of Pasig City located?,In which country is the city of Pasig City located? Morocco.
The city of Kano is in Nigeria.,1,Kano,Nigeria,Nigeria,In which country is the city of Kano located?,In which country is the city of Kano located? Nigeria.
The city of Kano is in China.,0,Kano,China,Nigeria,In which country is the city of Kano located?,In which country is the city of Kano located? China.
The city of Bahawalpur is in Pakistan.,1,Bahawalpur,Pakistan,Pakistan,In which country is the city of Bahawalpur located?,In which country is the city of Bahawalpur located? Pakistan.
The city of Bahawalpur is in China.,0,Bahawalpur,China,Pakistan,In which country is the city of Bahawalpur located?,In which country is the city of Bahawalpur located? China.
The city of New Kingston is in Jamaica.,1,New Kingston,Jamaica,Jamaica,In which country is the city of New Kingston located?,In which country is the city of New Kingston located? Jamaica.
The city of New Kingston is in South Africa.,0,New Kingston,South Africa,Jamaica,In which country is the city of New Kingston located?,In which country is the city of New Kingston located? South Africa.
The city of Pyongyang is in North Korea.,1,Pyongyang,North Korea,North Korea,In which country is the city of Pyongyang located?,In which country is the city of Pyongyang located? North Korea.
The city of Pyongyang is in Argentina.,0,Pyongyang,Argentina,North Korea,In which country is the city of Pyongyang located?,In which country is the city of Pyongyang located? Argentina.
The city of Shymkent is in Kazakhstan.,1,Shymkent,Kazakhstan,Kazakhstan,In which country is the city of Shymkent located?,In which country is the city of Shymkent located? Kazakhstan.
The city of Shymkent is in China.,0,Shymkent,China,Kazakhstan,In which country is the city of Shymkent located?,In which country is the city of Shymkent located? China.
The city of Tlalpan is in Mexico.,1,Tlalpan,Mexico,Mexico,In which country is the city of Tlalpan located?,In which country is the city of Tlalpan located? Mexico.
The city of Tlalpan is in Egypt.,0,Tlalpan,Egypt,Mexico,In which country is the city of Tlalpan located?,In which country is the city of Tlalpan located? Egypt.
The city of Kemerovo is in Russia.,1,Kemerovo,Russia,Russia,In which country is the city of Kemerovo located?,In which country is the city of Kemerovo located? Russia.
The city of Kemerovo is in India.,0,Kemerovo,India,Russia,In which country is the city of Kemerovo located?,In which country is the city of Kemerovo located? India.
The city of Zaporizhzhya is in Ukraine.,1,Zaporizhzhya,Ukraine,Ukraine,In which country is the city of Zaporizhzhya located?,In which country is the city of Zaporizhzhya located? Ukraine.
The city of Zaporizhzhya is in South Korea.,0,Zaporizhzhya,South Korea,Ukraine,In which country is the city of Zaporizhzhya located?,In which country is the city of Zaporizhzhya located? South Korea.
The city of Iztapalapa is in Mexico.,1,Iztapalapa,Mexico,Mexico,In which country is the city of Iztapalapa located?,In which country is the city of Iztapalapa located? Mexico.
The city of Iztapalapa is in Yemen.,0,Iztapalapa,Yemen,Mexico,In which country is the city of Iztapalapa located?,In which country is the city of Iztapalapa located? Yemen.
The city of Aguascalientes is in Mexico.,1,Aguascalientes,Mexico,Mexico,In which country is the city of Aguascalientes located?,In which country is the city of Aguascalientes located? Mexico.
The city of Aguascalientes is in China.,0,Aguascalientes,China,Mexico,In which country is the city of Aguascalientes located?,In which country is the city of Aguascalientes located? China.
The city of Kuala Lumpur is in Malaysia.,1,Kuala Lumpur,Malaysia,Malaysia,In which country is the city of Kuala Lumpur located?,In which country is the city of Kuala Lumpur located? Malaysia.
The city of Kuala Lumpur is in Oman.,0,Kuala Lumpur,Oman,Malaysia,In which country is the city of Kuala Lumpur located?,In which country is the city of Kuala Lumpur located? Oman.
The city of Warri is in Nigeria.,1,Warri,Nigeria,Nigeria,In which country is the city of Warri located?,In which country is the city of Warri located? Nigeria.
The city of Warri is in China.,0,Warri,China,Nigeria,In which country is the city of Warri located?,In which country is the city of Warri located? China.
The city of Peshawar is in Pakistan.,1,Peshawar,Pakistan,Pakistan,In which country is the city of Peshawar located?,In which country is the city of Peshawar located? Pakistan.
The city of Peshawar is in Tanzania.,0,Peshawar,Tanzania,Pakistan,In which country is the city of Peshawar located?,In which country is the city of Peshawar located? Tanzania.
The city of Kagoshima is in Japan.,1,Kagoshima,Japan,Japan,In which country is the city of Kagoshima located?,In which country is the city of Kagoshima located? Japan.
The city of Kagoshima is in India.,0,Kagoshima,India,Japan,In which country is the city of Kagoshima located?,In which country is the city of Kagoshima located? India.
The city of Hamamatsu is in Japan.,1,Hamamatsu,Japan,Japan,In which country is the city of Hamamatsu located?,In which country is the city of Hamamatsu located? Japan.
The city of Hamamatsu is in Russia.,0,Hamamatsu,Russia,Japan,In which country is the city of Hamamatsu located?,In which country is the city of Hamamatsu located? Russia.
The city of Cheongju-si is in South Korea.,1,Cheongju-si,South Korea,South Korea,In which country is the city of Cheongju-si located?,In which country is the city of Cheongju-si located? South Korea.
The city of Cheongju-si is in India.,0,Cheongju-si,India,South Korea,In which country is the city of Cheongju-si located?,In which country is the city of Cheongju-si located? India.
The city of Ghaziabad is in India.,1,Ghaziabad,India,India,In which country is the city of Ghaziabad located?,In which country is the city of Ghaziabad located? India.
The city of Ghaziabad is in South Korea.,0,Ghaziabad,South Korea,India,In which country is the city of Ghaziabad located?,In which country is the city of Ghaziabad located? South Korea.
The city of Cochin is in India.,1,Cochin,India,India,In which country is the city of Cochin located?,In which country is the city of Cochin located? India.
The city of Cochin is in China.,0,Cochin,China,India,In which country is the city of Cochin located?,In which country is the city of Cochin located? China.
The city of Ahmedabad is in India.,1,Ahmedabad,India,India,In which country is the city of Ahmedabad located?,In which country is the city of Ahmedabad located? India.
The city of Ahmedabad is in China.,0,Ahmedabad,China,India,In which country is the city of Ahmedabad located?,In which country is the city of Ahmedabad located? China.
The city of Sulaymaniyah is in Iraq.,1,Sulaymaniyah,Iraq,Iraq,In which country is the city of Sulaymaniyah located?,In which country is the city of Sulaymaniyah located? Iraq.
The city of Sulaymaniyah is in Turkey.,0,Sulaymaniyah,Turkey,Iraq,In which country is the city of Sulaymaniyah located?,In which country is the city of Sulaymaniyah located? Turkey.
The city of Hamadan is in Iran.,1,Hamadan,Iran,Iran,In which country is the city of Hamadan located?,In which country is the city of Hamadan located? Iran.
The city of Hamadan is in Pakistan.,0,Hamadan,Pakistan,Iran,In which country is the city of Hamadan located?,In which country is the city of Hamadan located? Pakistan.
The city of Omsk is in Russia.,1,Omsk,Russia,Russia,In which country is the city of Omsk located?,In which country is the city of Omsk located? Russia.
The city of Omsk is in China.,0,Omsk,China,Russia,In which country is the city of Omsk located?,In which country is the city of Omsk located? China.
The city of Ta'if is in Saudi Arabia.,1,Ta'if,Saudi Arabia,Saudi Arabia,In which country is the city of Ta'if located?,In which country is the city of Ta'if located? Saudi Arabia.
The city of Ta'if is in Venezuela.,0,Ta'if,Venezuela,Saudi Arabia,In which country is the city of Ta'if located?,In which country is the city of Ta'if located? Venezuela.
The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden,In which country is the city of Stockholm located?,In which country is the city of Stockholm located? Sweden.
The city of Stockholm is in Russia.,0,Stockholm,Russia,Sweden,In which country is the city of Stockholm located?,In which country is the city of Stockholm located? Russia.
The city of Siliguri is in India.,1,Siliguri,India,India,In which country is the city of Siliguri located?,In which country is the city of Siliguri located? India.
The city of Siliguri is in China.,0,Siliguri,China,India,In which country is the city of Siliguri located?,In which country is the city of Siliguri located? China.
The city of Baghdad is in Iraq.,1,Baghdad,Iraq,Iraq,In which country is the city of Baghdad located?,In which country is the city of Baghdad located? Iraq.
The city of Baghdad is in China.,0,Baghdad,China,Iraq,In which country is the city of Baghdad located?,In which country is the city of Baghdad located? China.
The city of Al Basrah al Qadimah is in Iraq.,1,Al Basrah al Qadimah,Iraq,Iraq,In which country is the city of Al Basrah al Qadimah located?,In which country is the city of Al Basrah al Qadimah located? Iraq.
The city of Al Basrah al Qadimah is in China.,0,Al Basrah al Qadimah,China,Iraq,In which country is the city of Al Basrah al Qadimah located?,In which country is the city of Al Basrah al Qadimah located? China.
The city of Krakow is in Poland.,1,Krakow,Poland,Poland,In which country is the city of Krakow located?,In which country is the city of Krakow located? Poland.
The city of Krakow is in South Korea.,0,Krakow,South Korea,Poland,In which country is the city of Krakow located?,In which country is the city of Krakow located? South Korea.
The city of Tolyatti is in Russia.,1,Tolyatti,Russia,Russia,In which country is the city of Tolyatti located?,In which country is the city of Tolyatti located? Russia.
The city of Tolyatti is in Ghana.,0,Tolyatti,Ghana,Russia,In which country is the city of Tolyatti located?,In which country is the city of Tolyatti located? Ghana.
The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia,In which country is the city of Bandar Lampung located?,In which country is the city of Bandar Lampung located? Indonesia.
The city of Bandar Lampung is in South Africa.,0,Bandar Lampung,South Africa,Indonesia,In which country is the city of Bandar Lampung located?,In which country is the city of Bandar Lampung located? South Africa.
The city of Tucson is in the United States.,1,Tucson,the United States,the United States,In which country is the city of Tucson located?,In which country is the city of Tucson located? the United States.
The city of Tucson is in Canada.,0,Tucson,Canada,the United States,In which country is the city of Tucson located?,In which country is the city of Tucson located? Canada.
The city of Can Tho is in Vietnam.,1,Can Tho,Vietnam,Vietnam,In which country is the city of Can Tho located?,In which country is the city of Can Tho located? Vietnam.
The city of Can Tho is in Venezuela.,0,Can Tho,Venezuela,Vietnam,In which country is the city of Can Tho located?,In which country is the city of Can Tho located? Venezuela.
The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bouake located?,In which country is the city of Bouake located? Côte d'Ivoire.
The city of Bouake is in China.,0,Bouake,China,Côte d'Ivoire,In which country is the city of Bouake located?,In which country is the city of Bouake located? China.
The city of Abobo is in Côte d'Ivoire.,1,Abobo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Abobo located?,In which country is the city of Abobo located? Côte d'Ivoire.
The city of Abobo is in India.,0,Abobo,India,Côte d'Ivoire,In which country is the city of Abobo located?,In which country is the city of Abobo located? India.
The city of Shihezi is in China.,1,Shihezi,China,China,In which country is the city of Shihezi located?,In which country is the city of Shihezi located? China.
The city of Shihezi is in Russia.,0,Shihezi,Russia,China,In which country is the city of Shihezi located?,In which country is the city of Shihezi located? Russia.
The city of Yunfu is in China.,1,Yunfu,China,China,In which country is the city of Yunfu located?,In which country is the city of Yunfu located? China.
The city of Yunfu is in Honduras.,0,Yunfu,Honduras,China,In which country is the city of Yunfu located?,In which country is the city of Yunfu located? Honduras.
The city of Xiangtan is in China.,1,Xiangtan,China,China,In which country is the city of Xiangtan located?,In which country is the city of Xiangtan located? China.
The city of Xiangtan is in Brazil.,0,Xiangtan,Brazil,China,In which country is the city of Xiangtan located?,In which country is the city of Xiangtan located? Brazil.
The city of Qionghai is in China.,1,Qionghai,China,China,In which country is the city of Qionghai located?,In which country is the city of Qionghai located? China.
The city of Qionghai is in Ecuador.,0,Qionghai,Ecuador,China,In which country is the city of Qionghai located?,In which country is the city of Qionghai located? Ecuador.
The city of Chuzhou is in China.,1,Chuzhou,China,China,In which country is the city of Chuzhou located?,In which country is the city of Chuzhou located? China.
The city of Chuzhou is in India.,0,Chuzhou,India,China,In which country is the city of Chuzhou located?,In which country is the city of Chuzhou located? India.
The city of Taiz is in Yemen.,1,Taiz,Yemen,Yemen,In which country is the city of Taiz located?,In which country is the city of Taiz located? Yemen.
The city of Taiz is in Burkina Faso.,0,Taiz,Burkina Faso,Yemen,In which country is the city of Taiz located?,In which country is the city of Taiz located? Burkina Faso.
The city of Tembisa is in South Africa.,1,Tembisa,South Africa,South Africa,In which country is the city of Tembisa located?,In which country is the city of Tembisa located? South Africa.
The city of Tembisa is in the Philippines.,0,Tembisa,the Philippines,South Africa,In which country is the city of Tembisa located?,In which country is the city of Tembisa located? the Philippines.
The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile,In which country is the city of Puente Alto located?,In which country is the city of Puente Alto located? Chile.
The city of Puente Alto is in China.,0,Puente Alto,China,Chile,In which country is the city of Puente Alto located?,In which country is the city of Puente Alto located? China.
The city of Zhumadian is in China.,1,Zhumadian,China,China,In which country is the city of Zhumadian located?,In which country is the city of Zhumadian located? China.
The city of Zhumadian is in Brazil.,0,Zhumadian,Brazil,China,In which country is the city of Zhumadian located?,In which country is the city of Zhumadian located? Brazil.
The city of Zhengzhou is in China.,1,Zhengzhou,China,China,In which country is the city of Zhengzhou located?,In which country is the city of Zhengzhou located? China.
The city of Zhengzhou is in Brazil.,0,Zhengzhou,Brazil,China,In which country is the city of Zhengzhou located?,In which country is the city of Zhengzhou located? Brazil.
The city of Ya'an is in China.,1,Ya'an,China,China,In which country is the city of Ya'an located?,In which country is the city of Ya'an located? China.
The city of Ya'an is in Morocco.,0,Ya'an,Morocco,China,In which country is the city of Ya'an located?,In which country is the city of Ya'an located? Morocco.
The city of Xianyang is in China.,1,Xianyang,China,China,In which country is the city of Xianyang located?,In which country is the city of Xianyang located? China.
The city of Xianyang is in Russia.,0,Xianyang,Russia,China,In which country is the city of Xianyang located?,In which country is the city of Xianyang located? Russia.
The city of Weihai is in China.,1,Weihai,China,China,In which country is the city of Weihai located?,In which country is the city of Weihai located? China.
The city of Weihai is in Russia.,0,Weihai,Russia,China,In which country is the city of Weihai located?,In which country is the city of Weihai located? Russia.
The city of Pingdingshan is in China.,1,Pingdingshan,China,China,In which country is the city of Pingdingshan located?,In which country is the city of Pingdingshan located? China.
The city of Pingdingshan is in South Africa.,0,Pingdingshan,South Africa,China,In which country is the city of Pingdingshan located?,In which country is the city of Pingdingshan located? South Africa.
The city of Bengbu is in China.,1,Bengbu,China,China,In which country is the city of Bengbu located?,In which country is the city of Bengbu located? China.
The city of Bengbu is in India.,0,Bengbu,India,China,In which country is the city of Bengbu located?,In which country is the city of Bengbu located? India.
The city of Zhangjiakou is in China.,1,Zhangjiakou,China,China,In which country is the city of Zhangjiakou located?,In which country is the city of Zhangjiakou located? China.
The city of Zhangjiakou is in India.,0,Zhangjiakou,India,China,In which country is the city of Zhangjiakou located?,In which country is the city of Zhangjiakou located? India.
The city of Mississauga is in Canada.,1,Mississauga,Canada,Canada,In which country is the city of Mississauga located?,In which country is the city of Mississauga located? Canada.
The city of Mississauga is in India.,0,Mississauga,India,Canada,In which country is the city of Mississauga located?,In which country is the city of Mississauga located? India.
The city of Yerevan is in Armenia.,1,Yerevan,Armenia,Armenia,In which country is the city of Yerevan located?,In which country is the city of Yerevan located? Armenia.
The city of Yerevan is in Bangladesh.,0,Yerevan,Bangladesh,Armenia,In which country is the city of Yerevan located?,In which country is the city of Yerevan located? Bangladesh.
The city of Albuquerque is in the United States.,1,Albuquerque,the United States,the United States,In which country is the city of Albuquerque located?,In which country is the city of Albuquerque located? the United States.
The city of Albuquerque is in Egypt.,0,Albuquerque,Egypt,the United States,In which country is the city of Albuquerque located?,In which country is the city of Albuquerque located? Egypt.
The city of New South Memphis is in the United States.,1,New South Memphis,the United States,the United States,In which country is the city of New South Memphis located?,In which country is the city of New South Memphis located? the United States.
The city of New South Memphis is in China.,0,New South Memphis,China,the United States,In which country is the city of New South Memphis located?,In which country is the city of New South Memphis located? China.
The city of Calgary is in Canada.,1,Calgary,Canada,Canada,In which country is the city of Calgary located?,In which country is the city of Calgary located? Canada.
The city of Calgary is in India.,0,Calgary,India,Canada,In which country is the city of Calgary located?,In which country is the city of Calgary located? India.
The city of Kisangani is in the Democratic Republic of the Congo.,1,Kisangani,the Democratic Republic of the Congo,the Democratic Republic of the Congo,In which country is the city of Kisangani located?,In which country is the city of Kisangani located? the Democratic Republic of the Congo.
The city of Kisangani is in China.,0,Kisangani,China,the Democratic Republic of the Congo,In which country is the city of Kisangani located?,In which country is the city of Kisangani located? China.
The city of Bobo-Dioulasso is in Burkina Faso.,1,Bobo-Dioulasso,Burkina Faso,Burkina Faso,In which country is the city of Bobo-Dioulasso located?,In which country is the city of Bobo-Dioulasso located? Burkina Faso.
The city of Bobo-Dioulasso is in China.,0,Bobo-Dioulasso,China,Burkina Faso,In which country is the city of Bobo-Dioulasso located?,In which country is the city of Bobo-Dioulasso located? China.
The city of Sao Jose dos Campos is in Brazil.,1,Sao Jose dos Campos,Brazil,Brazil,In which country is the city of Sao Jose dos Campos located?,In which country is the city of Sao Jose dos Campos located? Brazil.
The city of Sao Jose dos Campos is in Iran.,0,Sao Jose dos Campos,Iran,Brazil,In which country is the city of Sao Jose dos Campos located?,In which country is the city of Sao Jose dos Campos located? Iran.
The city of Florianopolis is in Brazil.,1,Florianopolis,Brazil,Brazil,In which country is the city of Florianopolis located?,In which country is the city of Florianopolis located? Brazil.
The city of Florianopolis is in Ecuador.,0,Florianopolis,Ecuador,Brazil,In which country is the city of Florianopolis located?,In which country is the city of Florianopolis located? Ecuador.
The city of Cuiaba is in Brazil.,1,Cuiaba,Brazil,Brazil,In which country is the city of Cuiaba located?,In which country is the city of Cuiaba located? Brazil.
The city of Cuiaba is in Latvia.,0,Cuiaba,Latvia,Brazil,In which country is the city of Cuiaba located?,In which country is the city of Cuiaba located? Latvia.
The city of Chattogram is in Bangladesh.,1,Chattogram,Bangladesh,Bangladesh,In which country is the city of Chattogram located?,In which country is the city of Chattogram located? Bangladesh.
